,sentiment,review_text
4456,1.0,Another great experience with AM Moving Company! Jordan and Brian were awesome and took great care of our stuff!!
2375,1.0,Megan Norris was a great agent to work with!!
9602,1.0,Very nice guys!!
11772,1.0,"Emilia Reynolds is awesome!
She sold our home in 5 days! She was very kind and we felt like we’d known her for years. We are Blessed to have her in our lives! Thank you!!!"
9700,1.0,"Pablo, Matteo and Kyle were awesome!"
4302,1.0,"Great experience. If you want the maximum offer for your house, go with Investorade! Hunter provided excellent customer service."
4758,1.0,Moe's team did an awesome job on my move!
5059,1.0,"Taylor, Enrique, Ryan l., Ryan G., were excellent and were very impressed with the quality of service. Will be using again 100%"
2376,1.0,Megan Norris was a great agent to work with!
8957,1.0,"Juan, Jose and Pedro did a great job! Thank you"
9607,1.0,"Excellent job! Thank you Dima, Pavel and Vitaly!!"
1033,1.0,"Amazing experience, thank you Bunna Meas!!!"
9686,1.0,"Boris, Abu, and Francesco were awesome. 10/10 if i move again i will request them!"
988,1.0,Asante and Victor were amazing!! Work together as a team and made the move a breeze on a day it was 112!
45,1.0,"Boris, Alex, and Paris did a great job!"
6677,1.0,my uncle used this company they are excellent movers. He was very happy with services
6568,1.0,Great value and customer service when dealing with Exodus Moving. I would recommend them to anyone!
6120,1.0,Pablo’s crew was great!
3202,0.98828125,Outstanding service !!! Great job!!!!
6096,0.9766666666666666,Very pleasant experience from beginning to end. Bobby took care of the paperwork and Juan and his team did the rest. Excellent customer service all the way around. They are hired everytime.
4664,0.9765625,Outstanding service in the rain!!!  Thank you
1571,0.9765625,Bobby and Brandon did an outstanding job!!!
7131,0.9765625,David is the Man helped me get two properties and a warehouse this year!!! All are better than what o was expecting!!!
273,0.96875,Very nice and efficient people! Called ahead of time beforeto let me know they were on the way to make my delivery! which I really liked! Would recommend!
863,0.96875,"Sergey and his team were amazing! They arrived on time, they worked efficiently- everything was diligently packed and moved without a hitch! Best moving experience ever!! Thank you"
955,0.95,Katie Rorbach is reliable and incredibly helpful. She is detail oriented and committed to finding you your perfect place.
2819,0.9375000000000001,"Moved twice with them, they are amazing!!"
9323,0.9375000000000001,Amazing!!
5880,0.9375000000000001,"Luis, Roberto & George were amazing! 5 thumbs up!"
6161,0.9375000000000001,John and his team did an amazing job with my move! I would recommend them to anyone!
4938,0.9375000000000001,Daverick and Austin were amazing during the move! We couldn't have done it without them!
2626,0.9375000000000001,"Andrew P,Eli and Jessie where an amazing 3 man crew! As always it was a pleasure using AB!"
3143,0.9375000000000001,Esteban and his crew were amazing! Thank you!
9468,0.9333333333333332,"Wonderful crew (Luis, Jorge, Anton, and Cesar the best)! Thank you for a great move."
8629,0.9333333333333332,"Sergio, Jordan, & Renee were great. They put furniture together for my kids. Awesome good guys!!!"
5739,0.9099999999999999,Danielle Austin did a very good job selling our condo.
9696,0.9099999999999999,"Very good experience and worked in a timely manner,very helpful and understanding. Will use again."
4486,0.9099999999999999,Service was very good. No problems at all.
10394,0.9099999999999999,"Don't be like me. They are very good at luring you to buy problematic property, take the commission and never reply after that. I need to go to the court to sort these things out. Of course, they will not even bother to reply the phone or email anymore. [Follow up], they did reply in the end after a week."
6453,0.90625,"Kyle, Todd, and Ladon were great! We’re very pleased!"
8336,0.9,Had a great experience with Juan and Demarcus. They were timely and efficient in their moving. Great work!
2489,0.9,"Excellent service, great price, will recommend any time."
1747,0.9,Zach was awesome gentleman to work with selling my mother's home. I would greatly suggested Zach in selling your property.Thank you  Zach
1750,0.9,"Great communication,  moved my unit while I was out of town and put into storage. They were ontime, courtes called if they was a question. Great job!"
2564,0.9,Great company_ I would recommend this company to anybody that need a good moving/storage company !!!!!!!!
5514,0.9,Arturo and Kenneth did a great job moving us today. We are very happy with their service and would refer them to anyone who needs to move.
3599,0.9,Sergey and his crew did incredible every 5 starts across the board
4202,0.9,Just had a great experience with Exodus. I move every year. Best moving experience ever  !
4226,0.9,Semisi and Luis did a great job! Been happy with EcoMovers every time we’ve used them.
9358,0.9,Reliable service always on time great costumer service lots of properties to choose from and Naty is the best realtor I've ever dealt with
1106,0.9,Wonderful experience. Every question was answered when asked. Javier did a great job with us on getting this sale done.
378,0.9,Victor and Alex were great. BEST MOVING EXPERIENCE WITH JM EXECUTIVE
11018,0.9,Experienced. Trustworthy. Johnine and company are the best!
7095,0.9,"Great staff, very experienced, and efficient. Brian, Waylor, and Cody are thebest"
10624,0.9,"Have used the Brent King Group twice now, and have been extremely happy with the service and results. Brent listens to what you are looking for in a house, and will get you those results. Was great working with Brent!"
8009,0.9,I would like to thank Javier and his crew for the best experience. Greatly recommended Im letting all my friends know.
8634,0.9,Great team. Wonderful move!
5908,0.9,Had a great experience and Thomas and Johnathan did a wonderful job! I have used them before and will again !
1018,0.9,"Great brokerage, Bunna Meas is wonderful to work with."
160,0.9,Hancock and Kyler did an excellent job moving us. Thank you Wildcat Movers for the great service.
5419,0.9,Best movers I had and this guys are the best !! Will recommend. It was a good experience……
2116,0.9,We needed a miracle to make our move happen and they did it!! Thank you to Jeff and Angie for all their efforts in pulling our move together and making it happen for us! They’re a great team and have wonderful people they work with to get the job done.
8706,0.9,They are the best. I would recommend  them anytime. Paid price quoted. Great crew
4394,0.9,Great moving company with superb management.
5364,0.9,Great moving crew 2 guys did awesome job moving thing from my house to my storage even packing up my things 👍👍
143,0.9,"Andres, Kyle and Carlos are great guys and provided excellent moving services. Would recommend to anyone needing moving services."
47,0.890625,James and Joshua with Wildcat movers are the BEST!! They have literally moved us 9 times now 😄 Could not ask for better!!
7,0.89,Very courteous and efficient. We recommend them and we would use them again. Team leader Christopher from university place was awesome. The person that hired them was my sister Dr. M Robinson.
8483,0.875,Pablo and Roberto were amazing!!!!! The perfect move and so respectful and thoughtful with everything!!! Choose this company!!
9308,0.875,I had a good experience with my movers! They were prompt on the arrival time and asked what preference I had for the amount of care and time for the move upfront.
4339,0.875,I had an amazing experience! Hunter was excellent and a pleasure working with.
10976,0.875,"Dedicated to his clients and the art of a good deal.
Thank you!"
1298,0.875,"Good job to Ruben, Ofir, Cha, Tony, and Spencer on our office move!"
9359,0.875,Amazing team! Excellent service!!
7097,0.875,Robert Foster and Emmanuel did a great job for us! They unloaded our 26 foot Uhaul and packed our storage unit perfectly. Would hire them again for sure!
2609,0.875,Demarcus and Jab are AMAZING!   They did excellent work🥰
2761,0.875,"So kind, patient, and efficient! Great experience!"
9416,0.875,"Damon, Lenar and Artur were efficient and respectful..Overall good service and would recommend!"
2145,0.875,"Good work environment, reliable company! They hire girl and guy movers."
6666,0.875,"Boris, Bonnie, and Jose are phenomenal! Great guys, they made everything work, stacked up all equipment like Tetris! Great job guys!"
6720,0.875,Amazing quality and service! The best movers we’ve had!
5225,0.8666666666666667,They did a great job with my move.  They wrapped all pieces and handled with care. I was happy they stayed within the quote. Great experience!
6992,0.8666666666666667,If you need to find a place to stay these guys are great. Bobby takes real good care of his people. Great business
8109,0.8625,Pablo and his crew were amazing! Very kind and helpful!
4371,0.859375,What an amazing experience! Hunter answered all my questions with ease! This company exceeded all that I needed and I will most def send people Hunters way! Thank you!
586,0.855,"My team was Luis, Allen and Tez.
Great guys and they took very good care loading my belongings."
4500,0.855,Bagrat and his team were great. Prompt and efficient. Very good communication. Would use the service again. Class act.
9787,0.8521180555555556,"These guys are great.  We had Joseph, David, JC, Taylor, and Sean.  All were very good to work with and accommodating.   They made a stressful day as easy as it could be!!!"
470,0.8500000000000001,Jc and Edwin were awesome. Great attitude great work great experience
9998,0.85,It's a beautiful office with beautiful people
2841,0.85,"Marvin and Jerek did an excellent job, Good customer services"
5111,0.8472222222222223,"Boris, Rick, and Felix were AWESOME!  Very quick delivery and even tightened bolts on my desk! Very Happy!!"
6623,0.8466666666666667,Very happy.  Zach & Terrion were awesome.  They got the move completed quickly but took incredible care with all of my items. Truly BEST MOVERS EVER.
5530,0.8458333333333333,"Darion and Aaron were amazing!! They were kind, had excellent manners, and worked efficiently.  I 100% recommend! Thank you!"
8004,0.845,Kyle and richard did a very good job tbey wete efficient and very courteous would recommend them again.
7020,0.84375,Ruben and Ofir are the best of the best. They did so good of job I used them twice in two weeks! Nobody better than Eco-Movers.
2596,0.8375,Power Loaders did my move 4 years ago and they did a great hob. As a realtor I have refereef them to my clients and always received good feedback!
6253,0.8333333333333334,Our movers were Rav and Tim. They were excellent. Great customer service! When I move again I most definently  will use this company again.
9093,0.8333333333333334,"Brian, Steve C., Will C., and James C., were really good with our furniture. Brian did great with keeping me in the loop for everything. Love their Teamwork this afternoon!!!! Blessing over you, your family's, and your company👏👏👏👏👏"
3563,0.8333333333333334,Gamez & Hancock were awesome! They got the job done efficiently and safe. Best moving company!!
59,0.8333333333333333,Every Door Team provided exceptional service. They stream lined the process and made it eas for us. Thank You Tia Takeuchi for helping us find our perfect home and being so patient with us and our ever changing minds.
4474,0.8333333333333333,"Great moving experience! Sergey and Vlad, did an exceptional job prepping and moving my items in a timely manner"
11487,0.8333333333333333,Park Place has been exceptional at every step in my experience with them. I will be recommending them to anyone looking for a property management company!
3740,0.8333333333333333,"Brian, Daryl, and Martin were the best movers ever!! Super efficient throughout and great to work with! Had the best moving experience EVER!"
440,0.8333333333333333,"They arrived on time, did an exceptional job, and got all my furniture and things from my office to my home in one piece!"
10065,0.83125,We LOVED the Get Happy At Home Team! Working with both Ian and Amber was wonderful. They answered our MANY questions and soothed our first-time-home-buyer-nerves at every turn. 10/10 would recommend to any and all!
6812,0.825,Serena and her team are wonderful. Throughout the process we were informed on everything going on. She was accommodating to our needs and made the process very smooth. Thank you!
4557,0.825,"Thank you to James, Deshun, and Sean! The move went BEAUTIFULLY from end to end. I would happily recommend Wildcat to anyone I meet who needs to move. 👍"
3435,0.825,Excellent service and an amazing value!!! Tod did a great job and saved us tens of thousands of dollars.  Feel confident using him to sell your house.
327,0.825,"Excellent service.
The team called, and arrived when they said they would.  They were efficient, courteous and it was a good experience.  Great team!"
5903,0.82,Boris and Daniel were amazing! Very good service took great care of everything
3742,0.819140625,"We loved working with this amazing Wildcat Moving Team from Addison... Ricky, Aaron & Tyreeh are efficient and showed great respect for our belongings!! Will use them again for sure!! Thank YOU! Stacey Schieffelin"
11161,0.8166666666666668,"Hannah from Team Diva helped us find our beautiful home in Kent, WA. Hannah was a pleasure to work with, she was kind and patient while we looked for our perfect home. I would recommend Hannah, and Team Diva to anyone!"
9635,0.8125,Excellent moving team! Emmanuel was top notch!
3918,0.8125,We were very pleased with the Wrightway Moving. They are pros!
6970,0.8125,I am very pleased with their service!
11994,0.8108333333333333,"She very good to work with. She was courteous, efficient and pleasant. She know how to handle work under pressure. And very great negotiation skills."
5392,0.8083333333333332,"Thank you, College Hunks Hauling Junk and Moving!
Best Wishes for a Happy and Healthy 2023!"
6067,0.80625,The guys were great. Everything was very smooth!!
7646,0.8046875,Boris and Dan are awesome!! They helped us move from Kirkland to Redmond in a breeze and were very friendly and accommodating. Grateful!
2604,0.8046875,"James and Clinton were on time, efficient and very friendly! Great moving experience!"
830,0.8000000000000002,Boris and Austin did a great job! Both enthusiastic and experienced movers
641,0.8000000000000002,Victor and Vitaly were great and he has amazing parking skills. I recommend the company to anyone looking to move. Thank you so much. Best in Miami.
1900,0.8000000000000002,Johnny and his crew were great. Everything packed and unloaded in great time with great service.
3172,0.8000000000000002,"Great company, great people. All the people I have dealt with are great, and you can trust they will do what they say."
5587,0.8,Great services. No surprises in pricing.
2933,0.8,Keith Dalton did a great job in moving the stuff 👍
7261,0.8,"Eco Movers, Pablo, Roberto and Caeser helped me tremendously. A great experience."
10936,0.8,"5 stars for Richr, they provided everything as promised and timely. I am happy I went with them."
5505,0.8,"Guys were great, on time, and worked diligently to get the job done. A+ team"
1198,0.8,"The team was knowledgeable, efficient and gave great customer service."
1509,0.8,"Daniel and Julio were great, took great care of my stuff."
84,0.8,Lawrence and Austyn were great.
4584,0.8,Thank you Bobby for sending out Joseph and courtney and homero the guy was great
10071,0.8,Great agent
7739,0.8,Had a great experience with Luna and Tobious. Would happily use them again got buying or selling.
915,0.8,Thank you for Sending George and Courtney the guys did a great job
1067,0.8,Great
5482,0.8,Great Movers
10114,0.8,"Great experience with the Trelora team...  sale of home got a bit stressful, but with their knowledge everything worked out."
4897,0.8,I had a great experience with exodus on my move. If you are moving give them a call.
4629,0.8,Jordan and Preston did and great job.
10390,0.8,Great experience
4129,0.8,Edwin and Keon were great.
1237,0.8,Great Service! Victor and Alex were prompt and courteous.
7155,0.8,"Thank you Courtney,

I will recommend this company too anyone you guys did an great job"
4309,0.8,Great experience with this company. Hunter assisted us through the process and he was a pleasure to work with.
717,0.8,Great communication and the crew worked diligently to get the job done.
6952,0.8,Great experience
3948,0.8,Movers were great
3921,0.8,Courtlin and Marvin did great work.
11020,0.8,Great woman who gives great attention to everything.
9355,0.8,Great service.  👍🏻🙌🏻
1759,0.8,"In this market you have to be hyper aggressive to win the deal, this is the outfit."
7224,0.8,"Quadarius & Jervaughn were a great team that helped me move
Thank you both, gents"
6075,0.8,Thank you Bobby for sending out Cortney and Alex the guys were great
2990,0.8,Thank you Bobbie for helping me out today. Jose did great job .
2354,0.8,Raul Adrain and Larry Did a great job moving apartment
7963,0.8,These guys did a great job. Anton is a pro.
7665,0.8,Great service from beginning to end
11596,0.8,Miriam is amazing. Very bright and educated in her craft!
6007,0.8,"Lloyd, Gil & JC were great.   They were informative, arrived on time and paid attention to details.  I would recommend using them to everyone"
3448,0.8,"Emmanuel and Edgar did a great job. Efficient and timely, and got all my stuff moved without damage."
9146,0.8,Knows the Miami market well also great with people
5056,0.8,Did business with one of the franchisees and had a great experience with Frank. He kept his word and so did we.
3830,0.8,Great job Bobby with my services.  I will be referring you to my family and friends
2801,0.8,Hired this moving company and they did a great job
2865,0.8,Ramil and his crew did a great job
8086,0.8,Amazing best guys on the planet I couldn’t have made it through a stressful situation with out them!! Thank you
11436,0.8,"Mirim was GREAT. Made my move to Florida the smoothest process ever. Admirable, hardworking, GO GETTER. If you need a agent Mirim is your girl."
4796,0.8,Great delivery service by this team.  Communicated well and was on time.
6168,0.8,Guys were great on time and finished my move within 3 hours.
6134,0.8,"A great company, I use them all the time for my packing & crating needs"
1031,0.8,"Great brokerage service, Bunna Meas helped every step of the way."
4392,0.8,I had a great experience with this company.  Hunter was great with his follow up.
4605,0.8,I already provided two referrals! Great guys
9946,0.8,Mario and his team were so great.
4191,0.8,the services great
6382,0.8,Thank you Courtney and Jun y’all did a great job.
2602,0.8,"Hugo, Alexis, and Larry were amazing. We had no clue that their service would be that incredible. I would recommend them to anyone!"
1735,0.8,Emmanuel and Gustavo were great
6386,0.8,Great service
8614,0.8,Great Delivery
8019,0.8,Great service and speed.
6487,0.8,Great Movers
9775,0.8,Dalton and Antonyo were great.  They took care of everything
5609,0.8,"It has been a great experience, the service and the collection and delivery times have been as agreed and the opportunity cost fets  my needs"
329,0.8,Eduardo and partner did a great job
802,0.8,Great Service. Handled the Furnature with care.
6748,0.8,Andre and Jervaughn were great 👍🏾
3376,0.8,Bobbie was great and so was the crew..don't  hesitate to call them
8058,0.8,Received a great price & squeezed me in. Just waiting for the move & hopefully I can change to 5 stars
9058,0.8,Darion and Juan were so great. I would recommend them anytime any day.
1345,0.8,Great moving company.
3105,0.8,Great company
1330,0.8,Amazing service. Did an incredible job! Thank you
1331,0.8,"Amazing service, Victor and Azyk were wonderful!"
3720,0.8,Great compay
11638,0.8,Amazing business awesome service
3086,0.8,"Dalton, Michael, Jaylon and Darron were amazing. They were helpful, on time, hardworking and did an excellent job.  Thank you!"
4653,0.8,Great cash offer .
856,0.8,Todd did a great job getting our home on the market and keeping us updated with the showings. We sold
